name;type;pipelines/filebeat/apache_access_log-ecs;pipelines/filebeat/auth_log-legacy;pipelines/filebeat/dhcp-legacy;pipelines/filebeat/fail2ban-ecs;pipelines/filebeat/ftp_download-legacy;pipelines/filebeat/haproxy_access_log-ecs;pipelines/filebeat/haproxy_access_log-legacy;pipelines/filebeat/http_download-ecs;pipelines/filebeat/http_download-legacy;pipelines/filebeat/nginx_access_log-legacy;pipelines/metricbeat/haproxy_stats-legacy;pipelines/paloalto/paloalto_traffic-ecs;pipelines/winlogbeat/winlog-legacy
@timestamp;date;;;;2018-11-15T00:06:33.139Z;;2018-11-16T00:40:57.455Z;2018-11-16T00:40:58.119Z;;;;;;
labels;object;;;;;;;;;;;;;
message;text;;;;2018-11-15 01:06:33,139 fail2ban.actions        [1234]: NOTICE  [tr069] Ban 80.69.196.123;;;;;;;;;
tags;keyword;;;;;;;;;;;;;
agent.ephemeral_id;keyword;;;;;;;;;;;;;
agent.id;keyword;;;;;;;;;;;;;
agent.name;keyword;;;;;;;;;;;;;
agent.type;keyword;;;;;;;;;;;;;
agent.version;keyword;;;;;;;;;;;;;
cloud.account.id;keyword;;;;;;;;;;;;;
cloud.availability_zone;keyword;;;;;;;;;;;;;
cloud.instance.id;keyword;;;;;;;;;;;;;
cloud.instance.name;keyword;;;;;;;;;;;;;
cloud.machine.type;keyword;;;;;;;;;;;;;
cloud.provider;keyword;;;;;;;;;;;;;
cloud.region;keyword;;;;;;;;;;;;;
container.id;keyword;;;;;;;;;;;;;
container.image.name;keyword;;;;;;;;;;;;;
container.image.tag;keyword;;;;;;;;;;;;;
container.labels;object;;;;;;;;;;;;;
container.name;keyword;;;;;;;;;;;;;
container.runtime;keyword;;;;;;;;;;;;;
destination.bytes;long;;;;;;;;;;;;;
destination.domain;keyword;;;;;;;;;;;;;
destination.ip;ip;;;;;;;;;;;;;
destination.mac;keyword;;;;;;;;;;;;;
destination.packets;long;;;;;;;;;;;;;
destination.port;long;;;;;;;;;;;;;
device.hostname;keyword;;;;;;;;;;;;;
device.ip;ip;;;;;;;;;;;;;
device.mac;keyword;;;;;;;;;;;;;
device.serial_number;keyword;;;;;;;;;;;;;
device.type;keyword;;;;;;;;;;;;;
device.vendor;keyword;;;;;;;;;;;;;
device.version;keyword;;;;;;;;;;;;;
ecs.version;keyword;;;;;;;;;;;;;
error.code;keyword;;;;;;;;;;;;;
error.id;keyword;;;;;;;;;;;;;
error.message;text;;;;;;;;;;;;;
event.action;keyword;;;;;;;;;;;;;
event.category;keyword;;;;;;;;;;;;;
event.created;date;;;;;;;;;;;;;
event.dataset;keyword;;;;;;;;;;;;;
event.duration;long;;;;;;8;;;;;;;
event.end;date;;;;;;;;;;;;;
event.hash;keyword;;;;;;;;;;;;;
event.id;keyword;;;;;;;;;;;;;
event.module;keyword;;;;;;;;;;;;;
event.original;keyword;;;;;;;;;;;;;
event.risk_score;float;;;;;;;;;;;;;
event.risk_score_norm;float;;;;;;;;;;;;;
event.severity;long;;;;;;;;;;;;;
event.start;date;;;;;;;;;;;;;
event.type;keyword;;;;;;;;;;;;;
file.ctime;date;;;;;;;;;;;;;
file.device;keyword;;;;;;;;;;;;;
file.extension;keyword;;;;;;;;;;;;;
file.gid;keyword;;;;;;;;;;;;;
file.group;keyword;;;;;;;;;;;;;
file.inode;keyword;;;;;;;;;;;;;
file.mode;keyword;;;;;;;;;;;;;
file.mtime;date;;;;;;;;;;;;;
file.owner;keyword;;;;;;;;;;;;;
file.path;keyword;;;;/var/log/fail2ban.log;;/avm/logs/haproxy/haproxy.log;/avm/logs/haproxy/haproxy.log;;;;;;
file.size;long;;;;;;;;;;;;;
file.target_path;keyword;;;;;;;;;;;;;
file.type;keyword;;;;;;;;;;;;;
file.uid;keyword;;;;;;;;;;;;;
geo.city_name;keyword;;;;;;;;;;;;;
geo.continent_name;keyword;;;;;;;;;;;;;
geo.country_iso_code;keyword;;;;;;;;;;;;;
geo.country_name;keyword;;;;;;;;;;;;;
geo.location;geo_point;;;;;;;;;;;;;
geo.region_iso_code;keyword;;;;;;;;;;;;;
geo.region_name;keyword;;;;;;;;;;;;;
group.id;keyword;;;;;;;;;;;;;
group.name;keyword;;;;;;;;;;;;;
host.architecture;keyword;;;;;;;;;;;;;
host.hostname;keyword;;;;;;;;;;;;;
host.id;keyword;;;;;;;;;;;;;
host.ip;ip;;;;;;;;;;;;;
host.mac;keyword;;;;;;;;;;;;;
host.name;keyword;;;;argo-lb-02;;argo-lb-02;argo-lb-02;;;;;;
host.type;keyword;;;;;;;;;;;;;
http.request.method;keyword;;;;;;GET;;;;;;;
http.request.referrer;keyword;;;;;;;;;;;;;
http.response.body;keyword;;;;;;;;;;;;;
http.response.status_code;long;;;;;;;;;;;;;
http.version;keyword;;;;;;1.1;;;;;;;
log.level;keyword;;;;;;;;;;;;;
log.original;keyword;;;;;;;;;;;;;
network.application;keyword;;;;tr069;;;;;;;;;
network.bytes;long;;;;;;;;;;;;;
network.community_id;keyword;;;;;;;;;;;;;
network.direction;keyword;;;;;;;;;;;;;
network.forwarded_ip;ip;;;;;;;;;;;;;
network.iana_number;keyword;;;;;;;;;;;;;
network.name;keyword;;;;;;;;;;;;;
network.packets;long;;;;;;;;;;;;;
network.protocol;keyword;;;;;;;;;;;;;
network.transport;keyword;;;;;;;;;;;;;
network.type;keyword;;;;;;;;;;;;;
organization.id;keyword;;;;;;;;;;;;;
organization.name;keyword;;;;;;;;;;;;;
os.family;keyword;;;;;;;;;;;;;
os.kernel;keyword;;;;;;;;;;;;;
os.name;keyword;;;;;;;;;;;;;
os.platform;keyword;;;;;;;;;;;;;
os.version;keyword;;;;;;;;;;;;;
process.args;keyword;;;;;;;;;;;;;
process.executable;keyword;;;;;;;;;;;;;
process.name;keyword;;;;;;haproxy;;;;;;;
process.pid;long;;;;;;1701;;;;;;;
process.ppid;long;;;;;;;;;;;;;
process.start;date;;;;;;;;;;;;;
process.thread.id;long;;;;;;;;;;;;;
process.title;keyword;;;;;;;;;;;;;
process.working_directory;keyword;;;;;;;;;;;;;
related.ip;ip;;;;;;;;;;;;;
service.ephemeral_id;keyword;;;;;;;;;;;;;
service.id;keyword;;;;;;;;;;;;;
service.name;keyword;;;;;;;;;;;;;
service.state;keyword;;;;;;;;;;;;;
service.type;keyword;;;;;;;;;;;;;
service.version;keyword;;;;;;;;;;;;;
source.bytes;long;;;;;;226;;;;;;;
source.domain;keyword;;;;;;argo-app-01;;;;;;;
source.ip;ip;;;;80.69.196.123;;78.55.162.196;;;;;;;
source.mac;keyword;;;;;;;;;;;;;
source.packets;long;;;;;;;;;;;;;
source.port;long;;;;;;34378;;;;;;;
url.domain;keyword;;;;;;;;;;;;;
url.fragment;keyword;;;;;;;;;;;;;
url.full;keyword;;;;;;;;;;;;;
url.original;keyword;;;;;;;;;;;;;
url.password;keyword;;;;;;;;;;;;;
url.path;keyword;;;;;;/update.php?ipv4=78.55.162.196&ipv6=;;;;;;;
url.port;integer;;;;;;;;;;;;;
url.query;keyword;;;;;;;;;;;;;
url.scheme;keyword;;;;;;;;;;;;;
url.username;keyword;;;;;;;;;;;;;
user.email;keyword;;;;;;;;;;;;;
user.full_name;keyword;;;;;;;;;;;;;
user.group;keyword;;;;;;;;;;;;;
user.hash;keyword;;;;;;;;;;;;;
user.id;keyword;;;;;;;;;;;;;
user.name;keyword;;;;;;;;;;;;;
avm.security.paloalto.test1;keyword;;;;;;;;;;;;;
avm.security.paloalto.test2;long;;;;;;;;;;;;;
@version;;;;;1;;1;1;;;;;;
accept_date;;;;;;;;16/Nov/2018:01:40:57.455;;;;;;
actconn;;;;;;;149;149;;;;;;
backend_name;;;;;;;dns;dns;;;;;;
backend_queue;;;;;;;0;0;;;;;;
beat.hostname;;;;;argo-lb-02;;argo-lb-02;argo-lb-02;;;;;;
beat.name;;;;;argo-lb-02;;argo-lb-02;argo-lb-02;;;;;;
beat.version;;;;;6.4.3;;6.4.3;6.4.3;;;;;;
beconn;;;;;;;;2;;;;;;
bytes_read;;;;;;;;226;;;;;;
captured_request_cookie;;;;;;;;-;;;;;;
captured_response_cookie;;;;;;;;-;;;;;;
client_ip;;;;;;;;78.55.162.196;;;;;;
client_port;;;;;;;;34378;;;;;;
feconn;;;;;;;;21;;;;;;
fields.service_type;;;;;fail2ban;;haproxy_access_log;haproxy_access_log;;;;;;
fields.topic;;;;;ops_filebeat;;ops_filebeat;ops_filebeat;;;;;;
frontend_name;;;;;;;dns;dns;;;;;;
haproxy_hour;;;;;;;;01;;;;;;
haproxy_milliseconds;;;;;;;;455;;;;;;
haproxy_minute;;;;;;;;40;;;;;;
haproxy_month;;;;;;;;Nov;;;;;;
haproxy_monthday;;;;;;;;16;;;;;;
haproxy_second;;;;;;;;57;;;;;;
haproxy_time;;;;;;;;01:40:57;;;;;;
haproxy_year;;;;;;;;2018;;;;;;
http.request.status_code;;;;;;;200;;;;;;;
http_request;;;;;;;;/update.php?ipv4=78.55.162.196&ipv6=;;;;;;
http_status_code;;;;;;;;200;;;;;;
http_verb;;;;;;;;GET;;;;;;
http_version;;;;;;;;1.1;;;;;;
input.type;;;;;log;;log;log;;;;;;
kafka.offset;;;;;;;5134327072;;;;;;;
offset;;;;;9268927;;;5134327072;;;;;;
pid;;;;;;;;1701;;;;;;
program;;;;;;;;haproxy;;;;;;
prospector.type;;;;;log;;log;log;;;;;;
retries;;;;;;;;0;;;;;;
server_name;;;;;;;;argo-app-01;;;;;;
srv_queue;;;;;;;;0;;;;;;
srvconn;;;;;;;;3;;;;;;
syslog_server;;;;;;;;argo-lb-02;;;;;;
syslog_timestamp;;;;;;;;Nov 16 01:40:57;;;;;;
termination_state;;;;;;;;----;;;;;;
time_backend_connect;;;;;;;;0;;;;;;
time_backend_response;;;;;;;;7;;;;;;
time_duration;;;;;;;;8;;;;;;
time_queue;;;;;;;;0;;;;;;
time_request;;;;;;;;1;;;;;;
